opratDate,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260224,11,서울특별시,11110,종로구,1111010900,누상동,11,서울특별시,11200,성동구,1120011500,성수동2가,08,00,1,2304.0
20260224,11,서울특별시,11110,종로구,1111011000,누하동,11,서울특별시,11200,성동구,1120011500,성수동2가,08,00,1,1865.0
20260224,11,서울특별시,11110,종로구,1111011100,옥인동,11,서울특별시,11200,성동구,1120011500,성수동2가,05,45,1,2344.0
20260224,11,서울특별시,11110,종로구,1111011100,옥인동,11,서울특별시,11200,성동구,1120011500,성수동2가,07,45,1,2514.0
20260224,11,서울특별시,11110,종로구,1111011100,옥인동,11,서울특별시,11200,성동구,1120011500,성수동2가,12,00,4,2535.0
20260224,11,서울특별시,11110,종로구,1111011200,체부동,11,서울특별시,11200,성동구,1120011500,성수동2가,21,45,1,1631.0
20260224,11,서울특별시,11110,종로구,1111011500,사직동,11,서울특별시,11200,성동구,1120011500,성수동2가,07,30,1,2135.0
20260224,11,서울특별시,11110,종로구,1111011500,사직동,11,서울특별시,11200,성동구,1120011500,성수동2가,08,30,1,1686.0
20260224,11,서울특별시,11110,종로구,1111011500,사직동,11,서울특별시,11200,성동구,1120011500,성수동2가,20,45,1,1849.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,08,30,1,2125.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,09,30,5,2236.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,09,45,3,1557.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,10,00,1,2014.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,10,45,3,1735.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,12,00,8,2213.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,12,15,1,1735.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,12,30,1,0.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,12,45,2,1837.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,13,00,2,1987.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,13,15,4,1928.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,13,30,4,2130.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,13,45,4,1707.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,14,00,3,2080.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,14,15,1,1978.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,14,30,2,1963.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,14,45,1,1903.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,15,00,1,1866.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,15,15,7,1706.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,15,30,2,2019.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,15,45,4,1713.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,16,00,2,1959.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,16,15,3,1695.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,16,30,3,1906.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,16,45,3,1949.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,17,00,6,1918.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,17,15,3,1869.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,17,45,3,1607.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,18,00,10,1775.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,18,15,2,1788.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,18,30,4,1609.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,18,45,2,1614.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,19,00,5,1570.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,19,30,2,1622.0
